id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ENSG00000088926.15	3	0.7955	0.6885	0.941796	14482	0	0.23984	0.61522	0.69201	1.0	12138	1	0.23984
ENSG00000213145.10	3	0.79552	0.6885	0.941796	14483	0	0.73987	0.087201	0.19688	1.0	3895	2	0.73987
ENSG00000259900.5	3	0.79561	0.6885	0.941796	14484	0	-0.0067556	0.74326	0.79529	1.0	13916	1	-0.0067556
ENSG00000186522.15	3	0.79563	0.6885	0.941796	14485	0	0.14661	0.63481	0.70314	1.0	12360	1	0.14661
ENSG00000243364.8	3	0.79566	0.6885	0.941796	14486	0	0.5656	0.16437	0.29178	1.0	5764	2	0.5656
ENSG00000251246.1	3	0.79566	0.6885	0.941796	14487	0	0.86354	0.13322	0.25471	1.0	5070	2	0.86354
ENSG00000038295.8	3	0.79575	0.6885	0.941796	14488	0	0.1534	0.27512	0.44101	1.0	8259	1	0.1534
ENSG00000256349.1	3	0.79576	0.6885	0.941796	14489	0	0.45255	0.22509	0.37268	1.0	7188	2	0.45255
ENSG00000196196.3	3	0.7958	0.6885	0.941796	14490	0	0.19726	0.72649	0.77414	1.0	13641	1	0.19726
ENSG00000171435.15	3	0.79581	0.6885	0.941796	14491	0	0.82801	0.070713	0.17453	1.0	3451	2	0.82801
ENSG00000146243.14	3	0.79589	0.6885	0.941796	14492	0	0.33796	0.26101	0.42446	1.0	7958	1	0.33796
ENSG00000070404.10	3	0.79591	0.6885	0.941796	14493	0	0.67774	0.017339	0.054854	0.985198	1132	2	0.67774
ENSG00000073282.14	6	0.79595	0.50828	0.839321	14494	1	0.40218	0.17495	0.41639	1.0	6000	3	0.40218
ENSG00000141179.14	3	0.79598	0.6885	0.941796	14495	0	0.17391	0.23071	0.37984	1.0	7296	1	0.17391
ENSG00000221968.9	3	0.79601	0.6885	0.941796	14496	0	0.037488	0.082101	0.1898	1.0	3744	1	0.037488
ENSG00000124743.6	3	0.79612	0.6885	0.941796	14497	0	-0.0075693	0.44511	0.57899	1.0	10301	1	-0.0075693
ENSG00000136052.10	3	0.79614	0.6885	0.941796	14498	0	0.72187	0.13211	0.2547	1.0	5027	2	0.72187
ENSG00000121316.11	3	0.79619	0.6885	0.941796	14499	0	0.23863	0.78856	0.84702	1.0	14696	0	0.23863
ENSG00000204695.4	6	0.79625	0.50828	0.839321	14500	1	0.32354	0.1196	0.33606	1.0	4695	3	0.32354
ENSG00000185361.9	3	0.79625	0.6885	0.941796	14501	0	0.20252	0.83252	0.88592	1.0	15399	0	0.20252
ENSG00000006757.12	3	0.79627	0.6885	0.941796	14502	0	0.44179	0.020517	0.067271	0.985198	1311	2	0.44179
ENSG00000107854.7	3	0.79632	0.6885	0.941796	14503	0	-0.02003	0.56496	0.65125	1.0	11538	1	-0.02003
ENSG00000204296.13	4	0.79633	0.62055	0.922643	14504	0	0.54795	0.13721	0.31729	1.0	5169	2	0.54795
ENSG00000176438.13	3	0.79634	0.6885	0.941796	14505	0	0.46356	0.6492	0.71124	1.0	12541	1	0.46356
ENSG00000155330.10	3	0.79642	0.68997	0.941796	14506	0	0.71037	0.090193	0.19806	1.0	3969	2	0.71037
ENSG00000240386.4	3	0.79643	0.68997	0.941796	14507	0	1.1311	0.013424	0.047768	0.985198	895	2	1.1311
ENSG00000161692.18	3	0.79647	0.68997	0.941796	14508	0	0.71586	0.096789	0.20768	1.0	4136	2	0.71586
ENSG00000126777.18	3	0.79648	0.68997	0.941796	14509	0	0.16541	0.31478	0.51586	1.0	9121	1	0.16541
ENSG00000109689.20	3	0.7965	0.68997	0.941796	14510	0	0.27194	0.55714	0.64715	1.0	11462	1	0.27194
ENSG00000071189.21	3	0.79652	0.68997	0.941796	14511	0	0.066319	0.70031	0.74977	1.0	13225	1	0.066319
ENSG00000172824.17	6	0.79656	0.50828	0.839321	14512	1	-0.21806	0.64202	0.81967	1.0	12447	1	-0.21806
ENSG00000185040.14	6	0.79661	0.50828	0.839321	14513	1	0.084701	0.32214	0.58043	1.0	9187	2	0.084701
ENSG00000103257.11	3	0.79665	0.68997	0.941796	14514	0	0.052999	0.68839	0.73472	1.0	13070	1	0.052999
ENSG00000124780.14	3	0.79668	0.68998	0.941796	14515	0	0.086131	0.32321	0.51586	1.0	9194	1	0.086131
ENSG00000047644.20	3	0.7967	0.68998	0.941796	14516	0	0.14303	0.7121	0.75586	1.0	13405	1	0.14303
ENSG00000164713.10	3	0.79673	0.68998	0.941796	14517	0	0.49679	0.21833	0.36318	1.0	7042	2	0.49679
ENSG00000127578.7	3	0.79675	0.68998	0.941796	14518	0	0.41438	0.14182	0.26532	1.0	5273	2	0.41438
ENSG00000237651.8	6	0.79676	0.50828	0.839321	14519	1	0.46159	0.091856	0.26771	1.0	4014	3	0.46159
ENSG00000104361.10	3	0.79678	0.68998	0.941796	14520	0	0.90739	0.042001	0.1191	0.985198	2416	2	0.90739
ENSG00000072210.19	3	0.79684	0.68998	0.941796	14521	0	0.95125	0.028554	0.085537	0.985198	1727	2	0.95125
ENSG00000006007.12	3	0.79688	0.68998	0.941796	14522	0	0.55807	0.18554	0.32937	1.0	6271	2	0.55807
ENSG00000165023.7	3	0.79693	0.68998	0.941796	14523	0	0.090559	0.76338	0.8214	1.0	14264	0	0.090559
ENSG00000160305.19	3	0.79697	0.68998	0.941796	14524	0	0.15727	0.83548	0.88592	1.0	15446	0	0.15727
ENSG00000179914.5	3	0.79699	0.68998	0.941796	14525	0	0.059819	0.47063	0.59233	1.0	10549	1	0.059819
ENSG00000085433.17	3	0.79704	0.69134	0.941796	14526	0	0.39714	0.15275	0.27847	1.0	5509	1	0.39714
ENSG00000142166.15	3	0.79706	0.69134	0.941796	14527	0	0.278	0.54588	0.6411	1.0	11329	1	0.278
ENSG00000198478.9	3	0.79707	0.69134	0.941796	14528	0	0.41068	0.247	0.40043	1.0	7647	2	0.41068
