id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ENSG00000186160.5	3	0.68617	0.68626	1.0	12365	1	-0.49346	0.71629	0.7164	1.0	13673	0	-0.49346
ENSG00000171561.4	6	0.68637	0.77783	1.0	12366	1	0.6032	0.18783	0.35367	0.995988	6034	3	0.6032
ENSG00000120265.21	3	0.6865	0.68658	1.0	12367	1	-0.55069	0.93768	0.93787	1.0	17465	0	-0.55069
ENSG00000006468.15	3	0.6865	0.68658	1.0	12368	1	-0.48663	0.94858	0.9488	1.0	17665	0	-0.48663
ENSG00000180205.4	3	0.6865	0.68658	1.0	12369	1	-0.57856	0.77805	0.7783	1.0	14741	0	-0.57856
ENSG00000169964.8	3	0.6865	0.68658	1.0	12370	1	0.068255	0.71443	0.71453	1.0	13638	0	0.068255
ENSG00000186212.4	3	0.6865	0.68658	1.0	12371	1	-0.082253	0.0871	0.15317	0.94789	3299	1	-0.082253
ENSG00000213676.13	3	0.6865	0.68658	1.0	12372	1	-0.33349	0.222	0.32148	0.995837	6596	1	-0.33349
ENSG00000133247.14	3	0.68671	0.6868	1.0	12373	1	-0.37323	0.30454	0.37304	0.998414	7630	1	-0.37323
ENSG00000163288.14	3	0.68671	0.6868	1.0	12374	1	0.27802	0.5963	0.59796	1.0	11636	1	0.27802
ENSG00000127366.5	3	0.68677	0.68687	1.0	12375	1	0.30492	0.51438	0.52615	1.0	10367	1	0.30492
ENSG00000171132.14	6	0.68678	0.77798	1.0	12376	1	0.67914	0.019512	0.06295	0.903079	1148	3	0.67914
ENSG00000145439.12	3	0.68696	0.68705	1.0	12377	1	-0.51512	0.64229	0.64259	1.0	12410	0	-0.51512
ENSG00000119729.12	3	0.68696	0.68705	1.0	12378	1	0.0	0.94987	0.9501	1.0	17688	0	0.0
ENSG00000250565.7	3	0.68696	0.68705	1.0	12379	1	0.0	0.94987	0.9501	1.0	17687	0	0.0
ENSG00000182902.14	3	0.68696	0.68705	1.0	12380	1	-0.52999	0.19602	0.30422	0.988895	6256	1	-0.52999
ENSG00000087076.9	3	0.68696	0.68705	1.0	12381	1	0.25335	0.53842	0.54634	1.0	10728	1	0.25335
ENSG00000107020.10	3	0.68696	0.68705	1.0	12382	1	-0.61938	0.57961	0.58251	1.0	11395	1	-0.61938
ENSG00000146463.12	3	0.68696	0.68705	1.0	12383	1	-0.23676	0.89751	0.89762	1.0	16796	0	-0.23676
ENSG00000116711.10	3	0.68696	0.68705	1.0	12384	1	-0.010274	0.65941	0.65954	1.0	12692	0	-0.010274
ENSG00000174628.17	4	0.687	0.70154	1.0	12385	1	0.71564	0.14196	0.24591	0.98051	4773	2	0.71564
ENSG00000196136.18	3	0.68713	0.68722	1.0	12386	1	0.096557	0.61487	0.61555	1.0	11936	1	0.096557
ENSG00000148019.14	3	0.6872	0.68728	1.0	12387	1	0.48391	0.446	0.47207	1.0	9429	1	0.48391
ENSG00000241119.2	3	0.6872	0.68728	1.0	12388	1	-0.54895	0.13994	0.22741	0.98051	4713	1	-0.54895
ENSG00000143862.8	3	0.68728	0.68737	1.0	12389	1	-0.11866	0.84833	0.84842	1.0	15964	0	-0.11866
ENSG00000289027.1	3	0.68748	0.68756	1.0	12390	1	-0.61486	0.42467	0.45626	1.0	9158	1	-0.61486
ENSG00000087086.16	3	0.68748	0.68756	1.0	12391	1	-0.20062	0.50342	0.51715	1.0	10204	1	-0.20062
ENSG00000100401.21	3	0.68748	0.68756	1.0	12392	1	-0.057635	0.80558	0.80561	1.0	15208	0	-0.057635
ENSG00000183778.19	3	0.68748	0.68756	1.0	12393	1	-0.54642	0.70879	0.70892	1.0	13542	0	-0.54642
ENSG00000213347.11	3	0.68748	0.68756	1.0	12394	1	-0.48663	0.40252	0.44008	1.0	8876	1	-0.48663
ENSG00000143384.14	3	0.68748	0.68756	1.0	12395	1	0.30825	0.53607	0.54431	1.0	10694	1	0.30825
ENSG00000189308.11	3	0.68776	0.68783	1.0	12396	1	0.46698	0.42743	0.45831	1.0	9187	1	0.46698
ENSG00000142694.7	3	0.68776	0.68783	1.0	12397	1	0.68075	0.17548	0.2763	0.983003	5720	2	0.68075
ENSG00000110274.16	3	0.68776	0.68783	1.0	12398	1	-0.18636	0.51914	0.53008	1.0	10443	1	-0.18636
ENSG00000175868.14	3	0.68776	0.68783	1.0	12399	1	-0.14588	0.67692	0.67692	1.0	12990	0	-0.14588
ENSG00000284461.2	3	0.68776	0.68783	1.0	12400	1	1.944	0.0019235	0.0054151	0.770832	142	2	1.944
ENSG00000122335.17	3	0.68776	0.68783	1.0	12401	1	0.015645	0.20449	0.31105	0.990238	6402	1	0.015645
ENSG00000116273.6	3	0.68776	0.68783	1.0	12402	1	0.65371	0.17912	0.2813	0.98529	5800	2	0.65371
ENSG00000197991.11	3	0.68793	0.688	1.0	12403	1	0.33389	0.75824	0.75852	1.0	14388	0	0.33389
ENSG00000204657.4	6	0.68799	0.77845	1.0	12404	1	0.56714	0.13738	0.28009	0.985218	4655	3	0.56714
ENSG00000166432.16	3	0.68799	0.68807	1.0	12405	1	-0.50394	0.64649	0.64678	1.0	12474	0	-0.50394
ENSG00000123572.17	3	0.68809	0.68818	1.0	12406	1	0.21894	0.71011	0.71027	1.0	13566	0	0.21894
ENSG00000196503.5	3	0.68809	0.68818	1.0	12407	1	0.15192	0.80472	0.80475	1.0	15196	0	0.15192
ENSG00000143032.8	3	0.68809	0.68818	1.0	12408	1	0.48796	0.13062	0.21442	0.979587	4474	1	0.48796
ENSG00000175520.9	3	0.68827	0.68833	1.0	12409	1	-0.43112	0.74979	0.75007	1.0	14259	0	-0.43112
ENSG00000150361.12	3	0.68827	0.68833	1.0	12410	1	0.84237	0.11226	0.18878	0.973352	3972	2	0.84237
ENSG00000118231.5	3	0.68827	0.68833	1.0	12411	1	0.5106	0.65911	0.65923	1.0	12687	0	0.5106
ENSG00000131019.11	3	0.68827	0.68833	1.0	12412	1	-0.22822	0.34809	0.402	1.0	8171	1	-0.22822
ENSG00000177706.9	2	0.68828	0.68812	1.0	12413	0	0.39432	0.32691	0.33781	0.995988	7933	1	0.39432
ENSG00000173391.9	3	0.68837	0.68843	1.0	12414	1	1.5197	0.0096425	0.025881	0.850622	629	2	1.5197
ENSG00000102904.15	3	0.68846	0.6885	1.0	12415	1	0.73663	0.14243	0.2308	0.98051	4784	2	0.73663
ENSG00000181541.6	3	0.68846	0.6885	1.0	12416	1	0.41366	0.25932	0.3444	0.995988	7046	1	0.41366
ENSG00000186965.5	3	0.6885	0.68855	1.0	12417	1	1.4807	0.012017	0.031894	0.87256	750	2	1.4807
ENSG00000057294.19	3	0.68879	0.68882	1.0	12418	1	-0.4509	0.85689	0.85695	1.0	16102	0	-0.4509
ENSG00000186280.7	3	0.68879	0.68882	1.0	12419	1	-0.48466	0.9369	0.93709	1.0	17447	0	-0.48466
ENSG00000160188.10	3	0.68879	0.68882	1.0	12420	1	-0.039346	0.81377	0.81371	1.0	15372	0	-0.039346
ENSG00000127152.18	3	0.68879	0.68882	1.0	12421	1	-0.21838	0.67325	0.67321	1.0	12926	0	-0.21838
ENSG00000088727.14	3	0.68879	0.68882	1.0	12422	1	-0.00071675	0.27375	0.35334	0.995988	7242	1	-0.00071675
ENSG00000116857.17	3	0.68879	0.68882	1.0	12423	1	-0.53508	0.68415	0.68417	1.0	13118	0	-0.53508
ENSG00000262655.4	3	0.68879	0.68882	1.0	12424	1	0.441	0.013787	0.036322	0.884079	841	1	0.441
ENSG00000128581.17	3	0.68879	0.68882	1.0	12425	1	0.64015	0.18757	0.29286	0.985876	6026	2	0.64015
