id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ENSG00000172831.14	3	0.30216	0.35169	0.999999	5142	1	0.12113	0.034037	0.084541	0.849548	2036	1	0.12113
ENSG00000123405.14	3	0.30227	0.35176	0.999999	5143	1	0.6615	0.13536	0.23339	0.933769	5130	2	0.6615
ENSG00000170558.10	3	0.3025	0.35192	0.999999	5144	1	-0.38744	0.94868	0.9489	1.0	17278	0	-0.38744
ENSG00000080573.7	3	0.30272	0.35207	0.999999	5145	1	0.020838	0.53537	0.58045	1.0	11235	1	0.020838
ENSG00000135643.5	3	0.30276	0.35209	0.999999	5146	1	-0.15675	0.51188	0.56523	1.0	10988	1	-0.15675
ENSG00000273820.2	3	0.30279	0.35212	0.999999	5147	1	0.3329	0.47984	0.54539	1.0	10652	1	0.3329
ENSG00000205795.5	3	0.30305	0.35231	0.999999	5148	1	-0.51237	0.5751	0.60707	1.0	11684	1	-0.51237
ENSG00000084093.19	3	0.30309	0.35233	0.999999	5149	1	-0.37777	0.77189	0.77221	1.0	14435	0	-0.37777
ENSG00000169436.18	3	0.30328	0.35247	0.999999	5150	1	-0.023997	0.8704	0.87051	1.0	15991	0	-0.023997
ENSG00000176302.13	3	0.30339	0.35254	0.999999	5151	1	-0.094896	0.90698	0.90707	1.0	16599	0	-0.094896
ENSG00000128011.5	3	0.30365	0.35273	0.999999	5152	1	-0.15284	0.42293	0.51212	1.0	10100	1	-0.15284
ENSG00000140691.18	3	0.3038	0.35283	0.999999	5153	1	0.47309	0.26946	0.3999	0.995326	8157	2	0.47309
ENSG00000143373.18	3	0.30402	0.35298	0.999999	5154	1	-0.43144	0.95897	0.9592	1.0	17466	0	-0.43144
ENSG00000212935.2	3	0.30409	0.35304	0.999999	5155	1	-0.38775	0.81601	0.81598	1.0	15146	0	-0.38775
ENSG00000151834.16	2	0.30426	0.3125	0.999999	5156	1	-0.4197	0.6559	0.65569	1.0	12648	0	-0.4197
ENSG00000184304.17	3	0.30428	0.35317	0.999999	5157	1	0.40553	0.28336	0.41666	1.0	8446	2	0.40553
ENSG00000153815.18	3	0.30439	0.35325	0.999999	5158	1	0.51125	0.24912	0.37522	0.989325	7722	2	0.51125
ENSG00000125730.18	3	0.30443	0.35327	0.999999	5159	1	-0.45935	0.82724	0.82727	1.0	15325	0	-0.45935
ENSG00000277462.2	3	0.30469	0.35347	0.999999	5160	1	-0.01187	0.30112	0.43802	1.0	8838	1	-0.01187
ENSG00000004776.13	3	0.3048	0.35354	0.999999	5161	1	-0.24587	0.50362	0.56007	1.0	10903	1	-0.24587
ENSG00000163394.6	3	0.30491	0.35363	0.999999	5162	1	-0.064016	0.5639	0.59941	1.0	11549	1	-0.064016
ENSG00000183020.15	3	0.30499	0.35369	0.999999	5163	1	0.30733	0.26692	0.39679	0.992827	8116	1	0.30733
ENSG00000176597.12	3	0.30502	0.35372	0.999999	5164	1	0.1366	0.85906	0.85914	1.0	15816	0	0.1366
ENSG00000140941.14	3	0.3051	0.35377	0.999999	5165	1	0.1725	0.6795	0.68619	1.0	12979	1	0.1725
ENSG00000186648.15	3	0.30513	0.3538	0.999999	5166	1	0.0084051	0.071151	0.14999	0.882137	3472	1	0.0084051
ENSG00000061676.16	3	0.30536	0.35396	0.999999	5167	1	0.2211	0.72236	0.72384	1.0	13601	1	0.2211
ENSG00000092020.11	3	0.30551	0.35406	0.999999	5168	1	-0.4755	0.97589	0.97604	1.0	17799	0	-0.4755
ENSG00000164638.11	3	0.30554	0.35408	0.999999	5169	1	0.30565	0.41965	0.51029	1.0	10069	1	0.30565
ENSG00000129911.9	3	0.30562	0.35414	0.999999	5170	1	-0.21775	0.92117	0.92122	1.0	16812	0	-0.21775
ENSG00000136488.15	3	0.30595	0.35438	0.999999	5171	1	0.42569	0.26619	0.39593	0.992827	8098	2	0.42569
ENSG00000182747.5	3	0.30621	0.35456	0.999999	5172	1	0.33143	0.19697	0.31123	0.967699	6547	1	0.33143
ENSG00000078747.17	3	0.30625	0.35459	0.999999	5173	1	0.58321	0.62333	0.64187	1.0	12248	1	0.58321
ENSG00000289720.1	3	0.30625	0.35459	0.999999	5174	1	-0.36981	0.9631	0.96327	1.0	17546	0	-0.36981
ENSG00000149289.11	6	0.30626	0.45594	0.999999	5175	2	-0.037978	0.14275	0.32767	0.973443	5303	1	-0.037978
ENSG00000157927.17	3	0.3064	0.3547	0.999999	5176	1	0.25235	0.78741	0.78766	1.0	14695	0	0.25235
ENSG00000276409.5	3	0.30643	0.35472	0.999999	5177	1	0.52957	0.17539	0.28417	0.960486	6027	2	0.52957
ENSG00000148795.7	3	0.30647	0.35474	0.999999	5178	1	-0.079106	0.032464	0.080962	0.847232	1956	1	-0.079106
ENSG00000117090.16	3	0.30658	0.35483	0.999999	5179	1	0.063798	0.86716	0.86721	1.0	15944	0	0.063798
ENSG00000117262.19	3	0.30684	0.35502	0.999999	5180	1	0.22739	0.032325	0.080648	0.847232	1951	1	0.22739
ENSG00000240065.9	3	0.30688	0.35504	0.999999	5181	1	-0.12489	0.59699	0.62261	1.0	11961	1	-0.12489
ENSG00000283189.2	3	0.30699	0.35512	0.999999	5182	1	0.55821	0.16492	0.27097	0.957762	5786	2	0.55821
ENSG00000145029.15	3	0.30699	0.35512	0.999999	5183	1	0.16523	0.32485	0.45925	1.0	9225	1	0.16523
ENSG00000154639.19	3	0.30703	0.35514	0.999999	5184	1	0.51598	0.22464	0.34525	0.978681	7192	2	0.51598
ENSG00000119686.10	3	0.30714	0.35521	0.999999	5185	1	-0.066204	0.82411	0.8242	1.0	15271	0	-0.066204
ENSG00000167644.12	3	0.30725	0.35529	0.999999	5186	1	-0.1242	0.72939	0.73043	1.0	13698	1	-0.1242
ENSG00000011021.23	3	0.30732	0.35535	0.999999	5187	1	0.41532	0.29283	0.42795	1.0	8651	2	0.41532
ENSG00000229637.4	3	0.3074	0.35541	0.999999	5188	1	0.26445	0.016169	0.042218	0.823869	1053	1	0.26445
ENSG00000135480.17	3	0.30762	0.35556	0.999999	5189	1	0.34434	0.50296	0.55967	1.0	10895	1	0.34434
ENSG00000144120.13	3	0.30792	0.35576	0.999999	5190	1	-0.15933	0.85563	0.85574	1.0	15758	0	-0.15933
ENSG00000101246.20	3	0.30818	0.35594	0.999999	5191	1	-0.22438	0.94297	0.9432	1.0	17179	0	-0.22438
ENSG00000070444.15	3	0.30836	0.35608	0.999999	5192	1	-0.4723	0.059569	0.13467	0.870012	3155	1	-0.4723
ENSG00000129646.16	3	0.3084	0.35611	0.999999	5193	1	0.15284	0.80121	0.80129	1.0	14925	0	0.15284
ENSG00000170175.11	3	0.30843	0.35614	0.999999	5194	1	-0.40356	0.2688	0.39908	0.994515	8149	1	-0.40356
ENSG00000122033.15	3	0.30851	0.35619	0.999999	5195	1	-0.41536	0.92343	0.92351	1.0	16856	0	-0.41536
ENSG00000221931.3	3	0.30888	0.35646	0.999999	5196	1	-0.30315	0.6754	0.68271	1.0	12913	1	-0.30315
ENSG00000111796.4	3	0.30892	0.35648	0.999999	5197	1	-0.37254	0.92469	0.92478	1.0	16879	0	-0.37254
ENSG00000164631.19	3	0.30903	0.35656	0.999999	5198	1	0.39436	0.312	0.4511	1.0	9082	2	0.39436
ENSG00000149582.16	3	0.30914	0.35663	0.999999	5199	1	-0.29238	0.61389	0.63483	1.0	12138	1	-0.29238
ENSG00000145147.20	3	0.30943	0.35684	0.999999	5200	1	0.97471	0.044798	0.10871	0.858724	2565	2	0.97471
ENSG00000154328.16	3	0.30958	0.35696	0.999999	5201	1	0.42562	0.24292	0.36762	0.989325	7559	1	0.42562
ENSG00000140948.13	3	0.30962	0.35698	0.999999	5202	1	0.7471	0.12008	0.21377	0.929415	4718	2	0.7471
ENSG00000121904.19	3	0.30965	0.35701	0.999999	5203	1	-0.083841	0.71093	0.71341	1.0	13407	1	-0.083841
ENSG00000234560.5	6	0.30966	0.45909	0.999999	5204	1	0.47264	0.1897	0.38466	0.992618	6382	3	0.47264
ENSG00000188811.14	3	0.3098	0.35712	0.999999	5205	1	-0.13384	0.32481	0.45923	1.0	9224	1	-0.13384
ENSG00000146707.15	3	0.30991	0.35719	0.999999	5206	1	-0.36597	0.38026	0.4885	1.0	9722	1	-0.36597
ENSG00000124103.10	3	0.30995	0.35722	0.999999	5207	1	0.14537	0.86204	0.86208	1.0	15858	0	0.14537
ENSG00000116117.20	3	0.31006	0.35729	0.999999	5208	1	-0.49779	0.98195	0.98212	1.0	17931	0	-0.49779
ENSG00000214376.6	3	0.3101	0.35732	0.999999	5209	1	0.36291	0.30512	0.44287	1.0	8919	2	0.36291
ENSG00000146197.9	3	0.31021	0.3574	0.999999	5210	1	0.51268	0.19459	0.30834	0.967699	6488	2	0.51268
ENSG00000153060.8	3	0.31047	0.35759	0.999999	5211	1	0.085177	0.2768	0.4088	0.998662	8308	1	0.085177
ENSG00000164626.9	3	0.31054	0.35764	0.999999	5212	1	-0.10801	0.66309	0.67261	1.0	12747	1	-0.10801
ENSG00000100604.13	3	0.31062	0.3577	0.999999	5213	1	-0.45522	0.28057	0.41332	1.0	8380	1	-0.45522
